% time,seconds,usecs/call,calls,errors,syscall
48.81,0.16326,3,48039,,poll
24.97,0.083528,1,48151,30411,recvmsg
16.73,0.055972,3,17401,,writev
2.67,0.008935,13,663,,futex
2.52,0.008423,24,344,,read
0.71,0.002372,8,268,57,openat
0.65,0.002162,2,886,,pread64
0.4,0.001336,2,495,405,stat
0.35,0.001185,1,855,426,recvfrom
0.31,0.001027,7,143,,lseek
0.22,0.000724,1,446,,write
0.18,0.000611,2,259,,close
0.15,0.000497,2,211,,fstat
0.13,0.000435,62,7,,clone
0.13,0.00043,17,25,,munmap
0.11,0.000359,89,4,,fsync
0.11,0.000355,4,76,31,access
0.11,0.000352,3,89,38,lstat
0.09,0.000296,18,16,,rename
0.08,0.000255,25,10,,unlink
0.07,0.000242,8,29,,pwrite64
0.06,0.00021,70,3,,shmdt
0.06,0.000206,6,33,,mmap
0.05,0.000176,1,103,,clock_gettime
0.05,0.000162,7,22,11,mkdir
0.05,0.000156,2,75,,fcntl
0.03,0.000116,6,19,,brk
0.03,0.000093,2,38,,getdents64
0.02,0.000067,1,61,,getpid
0.02,0.000063,1,39,,eventfd2
0.01,0.000046,4,11,,mprotect
0.01,0.000046,11,4,,chmod
0.01,0.000045,22,2,,fallocate
0.01,0.000041,8,5,2,connect
0.01,0.000041,8,5,,rmdir
0.01,0.000038,7,5,,socket
0.01,0.000035,11,3,,shmget
0.01,0.000031,10,3,,shmat
0.01,0.000029,1,19,,rt_sigaction
0.01,0.000018,2,8,,sendto
0,0.000015,5,3,,inotify_add_watch
0,0.000012,1,11,,getuid
0,0.00001,10,1,,restart_syscall
0,0.000009,2,4,,uname
0,0.000008,4,2,,sendmsg
0,0.000008,8,1,,chown
0,0.000005,1,4,,geteuid
0,0.000005,1,4,,getegid
0,0.000005,5,1,,inotify_init1
0,0.000004,1,3,,shmctl
0,0.000004,2,2,,fstatfs
0,0.000003,3,1,,shutdown
0,0.000003,3,1,,statfs
0,0.000003,3,1,,getrandom
0,0.000002,2,1,,readlink
0,0,0,2,,inotify_rm_watch
